334 by Thomas M. Disch
1Q84 by Haruki Murakami
1632 by Eric Flint
2312 by Kim Stanley Robinson
20000 Leagues Under the Sea by Jules Verne
Absolution Gap by Alastair Reynolds
Accelerando by Charles Stross
Acidity by Nadeem F. Paracha
Across the Universe by Beth Revis
Adulthood Rites by Octavia Butler
After Doomsday by Poul Anderson
Against the Fall of Night by Arthur C. Clarke
An Age by Brian Aldiss
Age of Miracles by John Brunner
The Age of the Pussyfoot by Frederik Pohl
Air by Geoff Ryman
Alas Babylon by Pat Frank
Alastor Cluster series by Jack Vance
The Alejandra Variations by Paul Cook
Aleriel or A Voyage to Other Worlds by Lach-Szyrma
The Algebraist by Iain M. Banks
Alien Tongue by Stephen Leigh
All You Need Is Kill by Hiroshi Sakurazaka
Altered Carbon by Richard K. Morgan
Ammonite by Nicola Griffith
Amped by Daniel H. Wilson
Ancient Echoes by Robert Holdstock
Ancient Shores by Jack McDevitt
Andromeda by Ivan Efremov
The Andromeda Strain by Michael Crichton
Andymon by Angela 
The Angry Espers by Lloyd Biggle Jr.
Anima by Marie Buchanan
Animorphs by K. A. Applegate
Annals of the Twenty-Ninth Century by Andrew Blair
The Ant Men by Eric North
Anthem by Ayn Rand
Star Well by Alexei Panshin
Ares Express by Ian McDonald
Artemis by Andy Weir
The Artist of the Beautiful by Nathaniel Hawthorne
As the Green Star Rises by Lin Carter
 Asgard's Secret by Brian Stableford
Attack from Atlantis by Lester del Rey
At the Goings Down of the Suns by Dominic Green
Atlas Shrugged by Ayn Rand
The Atrocity Exhibition by J.G. Ballard
Autour de la Lune  by Jules Verne
Autumn Angels by Arthur Byron Cover
Awakeners series by Sheri S. Tepper
Babel-17 by Samuel R. Delany
Bad Faith by Gillian Phillip
The Bane of Yoto by Josh Viola
Barefoot in the Head by Brian Aldiss
A Princess of Mars by Edgar Rice Burroughs
Battle Angel Alita by Yukito Kishiro
Battlefield Earth by L. Ron Hubbard
The Beast Master by Andre Norton
Becoming Alien by Rebecca Ore
The Bell-Tower by Herman Melville
Berserker by Fred Saberhagen
Between Planets by Robert A. Heinlein
Beyond Apollo by Barry N. Malzberg
 Beyond the Red
Bicentennial Man by Isaac Asimov
Big Planet by Jack Vance
The Big Time by Fritz Leiber
The Bikers series by Alex R. Stuart
A Billion Days of Earth by Doris Piserchia
Black by Ted Dekker
Black Legion of Callisto by Lin Carter
Blackstar by Josh Viola
Blast Off at Woomera by Hugh Walters
The Blind Worm by Brian Stableford
Blood Music by Greg Bear
Bloodchild  by Octavia Butler
The Blue Barbarians by Stanton A. Coblentz
The Blue Man by Kin Platt
The Blue World by Jack Vance
Borgel by Daniel Pinkwater
Born With the Dead by Robert Silverberg
Borrowed Tides by Paul Levinson
Brasyl by Ian McDonald
Brave New World by Aldous Huxley
Breakfast of Champions by Kurt Vonnegut
The Book of the New Sun by Gene Wolfe
The Brick Moon by Edward Everett Hale
Brother Termite by Patricia Anthony
Bug Jack Barron by Norman Spinrad
The Bull's Hour by Ivan Yefremov (a sequel to Andromeda)
The Butterfly Kid by Chester Anderson
By the Light of the Green Star by Lin Carter
Araminta Station by Jack Vance
Caesar's Column by Ignatius Donnelly
The Calcutta Chromosome by Amitav Ghosh
Calling B for Butterfly by Louise Lawrence
Camp Concentration by Thomas M. Disch
The Canopy of Time by Brian W. Aldiss
A Canticle for Leibowitz by Walter M. Miller Jr.
Carnival by Elizabeth Bear
A Case of Conscience by James Blish
Cat Country by Lao She
Cat's Cradle by Kurt Vonnegut Jr.
The Caves of Steel by Isaac Asimov
Celestial Matters by Richard Garfinkle
Cemetery World by Clifford D. Simak
The Centauri Device by M. John Harrison
Century Rain by Alastair Reynolds
The Chalk Giants by Keith Roberts
The Changeling by A. E. van Vogt
  The Pride of Chanur by C. J. Cherryh
Chasm City by Alastair Reynolds
Child of Fortune by Norman Spinrad
Childhood's End by Arthur C. Clarke
Children of Tomorrow by A. E. van Vogt
Chromosome 6 by Robin Cook
Chronocules by D. G. Compton
The Chrysalids by John Wyndham
Cinnabar by Edward Bryant
Cirque by Terry Carr
Citizen of the Galaxy by Robert A. Heinlein
City by Clifford D. Simak
The City and the Stars by Arthur C. Clarke
City of Bones by Martha Wells
City of Illusions by Ursula K. Le Guin
The City Outside the World by Lin Carter
Clans of the Alphane Moon by Philip K. Dick
Clay's Ark by Octavia Butler
A Clockwork Orange by Anthony Burgess
Close to Critical by Hal Clement
Coalescent by Stephen Baxter
Code of the Lifemaker by James P. Hogan
Colony by Ben Bova
The Complete Magnus Ridolph by Jack Vance
Congo by Michael Crichton
The Consciousness Plague by Paul Levinson
Consider Phlebas by Iain M. Banks
Contact by Carl Sagan
Count Zero by William Gibson
Cradle by Arthur C. Clarke
Cradle of the Sun by Brian Stableford
Creatures of Light and Darkness by Roger Zelazny
The Crossroads of Time by Andre Norton
Cryptonomicon by Neal Stephenson
